ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000016.SH,20241216,2641.5604,2637.7401,2647.6977,2635.2467,2638.0266,3.5338,0.134,54098120.0,93658808.689
000016.SH,20241213,2638.0266,2684.2932,2684.4109,2636.9729,2702.2681,-64.2415,-2.3773,61597705.0,120459478.408
000016.SH,20241212,2702.2681,2673.9435,2704.0286,2667.637,2676.5518,25.7163,0.9608,41273831.0,81318183.41
000016.SH,20241211,2676.5518,2684.5906,2696.0071,2671.5218,2689.3292,-12.7774,-0.4751,40802387.0,74840666.598
000016.SH,20241210,2689.3292,2741.7509,2747.0734,2684.7165,2667.5924,21.7368,0.8148,59443899.0,124161995.388
000016.SH,20241209,2667.5924,2666.2892,2686.5153,2658.4311,2665.4281,2.1643,0.0812,45926353.0,79459146.106
000016.SH,20241206,2665.4281,2636.6066,2682.6891,2636.6066,2635.5615,29.8666,1.1332,43894491.0,85427061.368
000016.SH,20241205,2635.5615,2637.627,2647.9841,2629.6309,2648.7554,-13.1939,-0.4981,33676521.0,60315067.352
000016.SH,20241204,2648.7554,2651.785,2660.8018,2638.113,2652.8982,-4.1428,-0.1562,48088171.0,84381105.671
000016.SH,20241203,2652.8982,2638.8056,2658.1522,2626.208,2639.0408,13.8574,0.5251,47373156.0,82863138.221
000016.SH,20241202,2639.0408,2621.1436,2643.8665,2613.6159,2624.9558,14.085,0.5366,44608836.0,84570831.621
000016.SH,20241129,2624.9558,2612.2337,2660.3932,2610.7148,2610.1214,14.8344,0.5683,43001561.0,86826616.313
000016.SH,20241128,2610.1214,2625.5067,2630.8034,2598.7484,2625.7605,-15.6391,-0.5956,34308739.0,63685958.938
000016.SH,20241127,2625.7605,2588.8885,2626.3255,2583.4665,2592.7374,33.0231,1.2737,41079054.0,75602282.983
000016.SH,20241126,2592.7374,2576.8092,2607.1247,2573.9661,2582.0536,10.6838,0.4138,39931653.0,64830132.9
000016.SH,20241125,2582.0536,2610.9605,2620.0303,2568.9547,2601.5573,-19.5037,-0.7497,45593530.0,86542885.244
000016.SH,20241122,2601.5573,2679.6508,2683.7447,2601.5458,2680.798,-79.2407,-2.9559,48551764.0,96852390.065
000016.SH,20241121,2680.798,2674.4342,2686.3147,2666.5676,2676.2068,4.5912,0.1716,37202384.0,72754859.824
000016.SH,20241120,2676.2068,2667.4488,2686.3751,2657.5836,2671.1887,5.0181,0.1879,45017622.0,81206748.407
000016.SH,20241119,2671.1887,2679.5513,2683.3683,2637.8473,2678.2735,-7.0848,-0.2645,67003018.0,102108364.111
000016.SH,20241118,2678.2735,2683.4931,2725.3011,2668.0586,2671.4515,6.822,0.2554,91045710.0,127985982.565
000016.SH,20241115,2671.4515,2696.9612,2712.8776,2671.4515,2704.1521,-32.7006,-1.2093,70040262.0,118404551.146
000016.SH,20241114,2704.1521,2719.4553,2743.7546,2700.2037,2728.2286,-24.0765,-0.8825,60469571.0,109896762.529
000016.SH,20241113,2728.2286,2697.1864,2737.5042,2696.6886,2712.2651,15.9635,0.5886,62644077.0,119899020.459
000016.SH,20241112,2712.2651,2744.946,2778.8862,2701.6102,2753.7448,-41.4797,-1.5063,60114854.0,143127099.381
000016.SH,20241111,2753.7448,2736.8382,2754.9744,2711.7625,2765.5385,-11.7937,-0.4265,61338658.0,146466629.959
000016.SH,20241108,2765.5385,2825.9123,2833.07,2758.2136,2797.8602,-32.3217,-1.1552,67861757.0,167822297.611
000016.SH,20241107,2797.8602,2684.8126,2800.6123,2683.3174,2706.6145,91.2457,3.3712,67017244.0,154119319.357
000016.SH,20241106,2706.6145,2730.4552,2743.1266,2691.7284,2727.6665,-21.052,-0.7718,59940818.0,139394922.731
000016.SH,20241105,2727.6665,2666.8611,2727.6665,2659.1659,2675.7707,51.8958,1.9395,55642484.0,129671764.768
000016.SH,20241104,2675.7707,2657.3144,2675.7707,2636.5763,2651.5349,24.2358,0.914,43015671.0,85743264.545
000016.SH,20241101,2651.5349,2629.0433,2674.2511,2629.0433,2633.117,18.4179,0.6995,60844392.0,112656093.158
000016.SH,20241031,2633.117,2637.2061,2654.6458,2613.2514,2634.7375,-1.6205,-0.0615,54529623.0,119295772.01
000016.SH,20241030,2634.7375,2658.2589,2674.3699,2624.0008,2667.9385,-33.201,-1.2444,44450688.0,98548356.583
000016.SH,20241029,2667.9385,2689.9168,2712.2827,2665.4245,2686.2894,-18.3509,-0.6831,50084286.0,112173896.896
000016.SH,20241028,2686.2894,2681.5075,2686.2894,2656.3248,2683.3246,2.9648,0.1105,53474972.0,105268557.743
000016.SH,20241025,2683.3246,2679.3494,2705.3314,2671.0383,2680.7044,2.6202,0.0977,46861453.0,102640845.785
000016.SH,20241024,2680.7044,2695.379,2698.9996,2669.7099,2708.0459,-27.3415,-1.0096,42253335.0,90076501.0
000016.SH,20241023,2708.0459,2691.1255,2728.2578,2682.942,2692.6613,15.3846,0.5714,56076797.0,119949400.339
000016.SH,20241022,2692.6613,2672.8534,2704.3458,2672.4493,2681.0567,11.6046,0.4328,52208167.0,115193657.02
000016.SH,20241021,2681.0567,2694.9659,2701.3576,2659.665,2681.9116,-0.8549,-0.0319,72042226.0,157954092.781
000016.SH,20241018,2681.9116,2606.3767,2722.6463,2583.4892,2610.467,71.4446,2.7369,70198207.0,155844588.305
000016.SH,20241017,2610.467,2666.367,2680.0601,2610.467,2650.1756,-39.7086,-1.4983,49796854.0,94353946.568
000016.SH,20241016,2650.1756,2629.2419,2677.2195,2628.9539,2655.1159,-4.9403,-0.1861,56259713.0,102204384.793
000016.SH,20241015,2655.1159,2711.6739,2726.9864,2655.1159,2723.183,-68.0671,-2.4995,58314144.0,113706265.388
000016.SH,20241014,2723.183,2699.7073,2737.2733,2672.8084,2680.388,42.795,1.5966,80655001.0,143373984.403
000016.SH,20241011,2680.388,2718.249,2737.0817,2653.6174,2739.0507,-58.6627,-2.1417,75378019.0,137937187.109
000016.SH,20241010,2739.0507,2697.2924,2801.1196,2675.4415,2680.7145,58.3362,2.1761,115891754.0,219028734.621
000016.SH,20241009,2680.7145,2813.9557,2825.7394,2674.2463,2853.1376,-172.4231,-6.0433,124653375.0,291386974.601
000016.SH,20241008,2853.1376,3016.8743,3016.8743,2780.0303,2755.4044,97.7332,3.547,165973235.0,332253411.73
000016.SH,20240930,2755.4044,2657.5481,2778.2881,2621.7023,2571.0848,184.3196,7.1689,153324458.0,269284712.244
000016.SH,20240927,2571.0848,2553.6017,2571.0848,2512.8179,2498.1797,72.9051,2.9183,64800776.0,114190842.276
000016.SH,20240926,2498.1797,2389.2682,2498.3234,2383.5101,2386.3227,111.857,4.6874,67742963.0,119232016.528
