ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000905.SH,20240315,5454.1463,5380.019,5456.7336,5357.1797,5392.9267,61.2196,1.1352,136405030.0,158718756.617
000905.SH,20240314,5392.9267,5415.1499,5447.5416,5352.1195,5415.1126,-22.1859,-0.4097,131887357.0,157337167.776
000905.SH,20240313,5415.1126,5430.0437,5459.3222,5389.5251,5423.7183,-8.6057,-0.1587,129746301.0,164526330.861
000905.SH,20240312,5423.7183,5445.8776,5473.2901,5385.1402,5441.0507,-17.3324,-0.3185,147072536.0,178848761.378
000905.SH,20240311,5441.0507,5342.1778,5443.0421,5339.2607,5349.595,91.4557,1.7096,142981732.0,173588864.751
000905.SH,20240308,5349.595,5282.4077,5361.7104,5268.5296,5277.2988,72.2962,1.3699,121467978.0,144003562.006
000905.SH,20240307,5277.2988,5354.3337,5384.6567,5277.2988,5350.1016,-72.8028,-1.3608,139831342.0,157442183.149
000905.SH,20240306,5350.1016,5332.8328,5405.4908,5293.9518,5351.8268,-1.7252,-0.0322,121099564.0,146843351.595
000905.SH,20240305,5351.8268,5358.2206,5382.9834,5329.9702,5388.82,-36.9932,-0.6865,140816479.0,174282675.003
000905.SH,20240304,5388.82,5386.9441,5400.1227,5325.9642,5379.0482,9.7718,0.1817,143928469.0,175906403.369
000905.SH,20240301,5379.0482,5350.8566,5387.7839,5321.5587,5346.7929,32.2553,0.6033,142298395.0,171103270.101
000905.SH,20240229,5346.7929,5154.1487,5349.7678,5154.1487,5184.0471,162.7458,3.1394,160790165.0,178975999.913
000905.SH,20240228,5184.0471,5311.4253,5383.3193,5184.0471,5307.8043,-123.7572,-2.3316,202560985.0,214135426.954
000905.SH,20240227,5307.8043,5174.8194,5307.8043,5160.8782,5195.4642,112.3401,2.1623,138971751.0,157201596.73
000905.SH,20240226,5195.4642,5194.737,5255.3615,5162.9504,5197.7115,-2.2473,-0.0432,144018944.0,152600869.382
000905.SH,20240223,5197.7115,5190.6466,5197.7115,5118.568,5176.3431,21.3684,0.4128,135265004.0,145442447.177
000905.SH,20240222,5176.3431,5133.5478,5184.6228,5117.6799,5139.0372,37.3059,0.7259,116614806.0,127546517.889
000905.SH,20240221,5139.0372,5101.4113,5252.8785,5074.8224,5140.9575,-1.9203,-0.0374,150872501.0,155561259.422
000905.SH,20240220,5140.9575,5107.5677,5151.7201,5072.8837,5141.6037,-0.6462,-0.0126,121646379.0,133242205.644
000905.SH,20240219,5141.6037,5225.1379,5225.1379,5074.7611,5150.2288,-8.6251,-0.1675,162949893.0,172805832.9
000905.SH,20240208,5150.2288,5131.8032,5367.2243,5129.7843,5109.5685,40.6603,0.7958,213676123.0,212255665.094
000905.SH,20240207,5109.5685,4813.9545,5110.8041,4813.2326,4805.9013,303.6672,6.3186,227198934.0,212618286.128
000905.SH,20240206,4805.9013,4411.298,4817.1179,4405.3085,4460.2635,345.6378,7.7493,173058335.0,156485198.829
000905.SH,20240205,4460.2635,4527.7091,4598.0608,4281.2399,4563.2221,-102.9586,-2.2563,165958337.0,143547017.412
000905.SH,20240202,4563.2221,4686.0999,4724.0488,4435.5569,4678.7308,-115.5087,-2.4688,137501832.0,124953077.789
000905.SH,20240201,4678.7308,4667.9126,4771.0465,4629.9901,4696.9796,-18.2488,-0.3885,111471910.0,107508825.588
000905.SH,20240131,4696.9796,4786.8128,4832.401,4690.9429,4814.9908,-118.0112,-2.4509,121093158.0,116592536.773
000905.SH,20240130,4814.9908,4898.3613,4939.3511,4810.099,4927.9137,-112.9229,-2.2915,99675811.0,95474113.526
000905.SH,20240129,4927.9137,5032.1113,5050.1092,4927.9137,5027.0932,-99.1795,-1.9729,116876657.0,117835011.1
000905.SH,20240126,5027.0932,5055.2878,5086.129,5009.9729,5073.1779,-46.0847,-0.9084,117009836.0,119232919.0
000905.SH,20240125,5073.1779,4931.6273,5074.4943,4910.9591,4933.7009,139.477,2.827,132307766.0,134822852.0
000905.SH,20240124,4933.7009,4886.2037,4941.4403,4766.8035,4865.743,67.9579,1.3967,114025805.0,112683270.5
000905.SH,20240123,4865.743,4771.4963,4889.4223,4727.8806,4780.9748,84.7682,1.773,99944718.0,107808853.1
000905.SH,20240122,4780.9748,5008.6804,5008.7672,4753.6302,5018.4332,-237.4584,-4.7317,109708492.0,115622857.1
000905.SH,20240119,5018.4332,5056.4765,5084.2902,5014.7667,5066.9579,-48.5247,-0.9577,78467383.0,92039421.3
000905.SH,20240118,5066.9579,5033.1032,5069.2295,4924.6815,5061.5395,5.4184,0.1071,118751055.0,123436419.7
000905.SH,20240117,5061.5395,5180.9251,5180.9251,5061.5395,5190.3975,-128.858,-2.4826,78741849.0,87930639.3
000905.SH,20240116,5190.3975,5188.3692,5210.0834,5124.0823,5193.2956,-2.8981,-0.0558,83070371.0,92337607.3
