date,ticker,open,high,low,close,vwap,volume,turnover,status
20240315,000905.SH,5380.019,5456.7336,5357.1797,5454.1463,5454.1463,136405030.0,158718756.617,000905.SH
20240314,000905.SH,5415.1499,5447.5416,5352.1195,5392.9267,5392.9267,131887357.0,157337167.776,000905.SH
20240313,000905.SH,5430.0437,5459.3222,5389.5251,5415.1126,5415.1126,129746301.0,164526330.861,000905.SH
20240312,000905.SH,5445.8776,5473.2901,5385.1402,5423.7183,5423.7183,147072536.0,178848761.378,000905.SH
20240311,000905.SH,5342.1778,5443.0421,5339.2607,5441.0507,5441.0507,142981732.0,173588864.751,000905.SH
20240308,000905.SH,5282.4077,5361.7104,5268.5296,5349.595,5349.595,121467978.0,144003562.006,000905.SH
20240307,000905.SH,5354.3337,5384.6567,5277.2988,5277.2988,5277.2988,139831342.0,157442183.149,000905.SH
20240306,000905.SH,5332.8328,5405.4908,5293.9518,5350.1016,5350.1016,121099564.0,146843351.595,000905.SH
20240305,000905.SH,5358.2206,5382.9834,5329.9702,5351.8268,5351.8268,140816479.0,174282675.003,000905.SH
20240304,000905.SH,5386.9441,5400.1227,5325.9642,5388.82,5388.82,143928469.0,175906403.369,000905.SH
20240301,000905.SH,5350.8566,5387.7839,5321.5587,5379.0482,5379.0482,142298395.0,171103270.101,000905.SH
20240229,000905.SH,5154.1487,5349.7678,5154.1487,5346.7929,5346.7929,160790165.0,178975999.913,000905.SH
20240228,000905.SH,5311.4253,5383.3193,5184.0471,5184.0471,5184.0471,202560985.0,214135426.954,000905.SH
20240227,000905.SH,5174.8194,5307.8043,5160.8782,5307.8043,5307.8043,138971751.0,157201596.73,000905.SH
20240226,000905.SH,5194.737,5255.3615,5162.9504,5195.4642,5195.4642,144018944.0,152600869.382,000905.SH
20240223,000905.SH,5190.6466,5197.7115,5118.568,5197.7115,5197.7115,135265004.0,145442447.177,000905.SH
20240222,000905.SH,5133.5478,5184.6228,5117.6799,5176.3431,5176.3431,116614806.0,127546517.889,000905.SH
20240221,000905.SH,5101.4113,5252.8785,5074.8224,5139.0372,5139.0372,150872501.0,155561259.422,000905.SH
20240220,000905.SH,5107.5677,5151.7201,5072.8837,5140.9575,5140.9575,121646379.0,133242205.644,000905.SH
20240219,000905.SH,5225.1379,5225.1379,5074.7611,5141.6037,5141.6037,162949893.0,172805832.9,000905.SH
20240208,000905.SH,5131.8032,5367.2243,5129.7843,5150.2288,5150.2288,213676123.0,212255665.094,000905.SH
20240207,000905.SH,4813.9545,5110.8041,4813.2326,5109.5685,5109.5685,227198934.0,212618286.128,000905.SH
20240206,000905.SH,4411.298,4817.1179,4405.3085,4805.9013,4805.9013,173058335.0,156485198.829,000905.SH
20240205,000905.SH,4527.7091,4598.0608,4281.2399,4460.2635,4460.2635,165958337.0,143547017.412,000905.SH
20240202,000905.SH,4686.0999,4724.0488,4435.5569,4563.2221,4563.2221,137501832.0,124953077.789,000905.SH
20240201,000905.SH,4667.9126,4771.0465,4629.9901,4678.7308,4678.7308,111471910.0,107508825.588,000905.SH
20240131,000905.SH,4786.8128,4832.401,4690.9429,4696.9796,4696.9796,121093158.0,116592536.773,000905.SH
20240130,000905.SH,4898.3613,4939.3511,4810.099,4814.9908,4814.9908,99675811.0,95474113.526,000905.SH
20240129,000905.SH,5032.1113,5050.1092,4927.9137,4927.9137,4927.9137,116876657.0,117835011.1,000905.SH
20240126,000905.SH,5055.2878,5086.129,5009.9729,5027.0932,5027.0932,117009836.0,119232919.0,000905.SH
20240125,000905.SH,4931.6273,5074.4943,4910.9591,5073.1779,5073.1779,132307766.0,134822852.0,000905.SH
20240124,000905.SH,4886.2037,4941.4403,4766.8035,4933.7009,4933.7009,114025805.0,112683270.5,000905.SH
20240123,000905.SH,4771.4963,4889.4223,4727.8806,4865.743,4865.743,99944718.0,107808853.1,000905.SH
20240122,000905.SH,5008.6804,5008.7672,4753.6302,4780.9748,4780.9748,109708492.0,115622857.1,000905.SH
20240119,000905.SH,5056.4765,5084.2902,5014.7667,5018.4332,5018.4332,78467383.0,92039421.3,000905.SH
20240118,000905.SH,5033.1032,5069.2295,4924.6815,5066.9579,5066.9579,118751055.0,123436419.7,000905.SH
20240117,000905.SH,5180.9251,5180.9251,5061.5395,5061.5395,5061.5395,78741849.0,87930639.3,000905.SH
20240116,000905.SH,5188.3692,5210.0834,5124.0823,5190.3975,5190.3975,83070371.0,92337607.3,000905.SH
20240115,000905.SH,5189.5279,5238.9581,5171.2399,5193.2956,5193.2956,73925097.0,88027788.8,000905.SH
20240112,000905.SH,5213.1356,5262.6165,5206.1607,5206.178,5206.178,76619831.0,93271394.9,000905.SH
20240111,000905.SH,5152.359,5243.1387,5146.8978,5223.8633,5223.8633,85041295.0,106151947.2,000905.SH
20240110,000905.SH,5167.7319,5211.8158,5118.4332,5158.0784,5158.0784,71173946.0,84227807.644,000905.SH
20240109,000905.SH,5176.1129,5220.4578,5152.9987,5180.653,5180.653,78740418.0,90959823.752,000905.SH
20240108,000905.SH,5268.2339,5268.9787,5167.6997,5167.6997,5167.6997,83785155.0,92792791.38,000905.SH
20240105,000905.SH,5347.0727,5373.6788,5260.5939,5281.8711,5281.8711,89538884.0,101084569.597,000905.SH
20240104,000905.SH,5395.1428,5395.1428,5331.892,5355.3216,5355.3216,78846568.0,91011406.056,000905.SH
20240103,000905.SH,5398.2939,5428.5204,5373.8317,5401.395,5401.395,86705229.0,99883598.918,000905.SH
20240102,000905.SH,5431.4784,5439.4778,5409.4554,5409.4554,5409.4554,92964747.0,106839922.689,000905.SH
