date,ticker,open,high,low,close,vwap,volume,turnover,status
20240315,000688.SH,802.9111,809.3953,794.7507,808.6736,808.6736,19734463.0,57967231.415,000688.SH
20240314,000688.SH,811.5135,815.547,797.7755,804.8554,804.8554,21741015.0,64940754.849,000688.SH
20240313,000688.SH,821.3228,824.8148,813.0911,814.9319,814.9319,20803285.0,63767092.186,000688.SH
20240312,000688.SH,818.5162,827.628,813.0451,817.7503,817.7503,21946276.0,66674864.477,000688.SH
20240311,000688.SH,800.8992,818.7067,797.2616,818.4386,818.4386,22129381.0,65259225.212,000688.SH
20240308,000688.SH,795.3215,805.5717,791.7342,803.2,803.2,20310428.0,57902911.073,000688.SH
20240307,000688.SH,814.1679,817.7769,793.5926,794.2384,794.2384,21403310.0,60500813.735,000688.SH
20240306,000688.SH,816.1445,822.7868,803.9915,811.8984,811.8984,19973582.0,58780249.393,000688.SH
20240305,000688.SH,812.6212,824.1248,810.3196,817.7721,817.7721,22349007.0,69594824.94,000688.SH
20240304,000688.SH,819.9574,822.6528,807.3873,818.5129,818.5129,23131064.0,70764262.049,000688.SH
20240301,000688.SH,809.4005,818.1107,803.525,815.4866,815.4866,23983105.0,72454213.478,000688.SH
20240229,000688.SH,769.5571,807.707,769.5571,807.707,807.707,26053051.0,76229767.283,000688.SH
20240228,000688.SH,797.8251,811.6468,771.5922,771.5922,771.5922,33634356.0,92170366.772,000688.SH
20240227,000688.SH,763.6649,797.149,761.264,796.9073,796.9073,24214646.0,71354654.83,000688.SH
20240226,000688.SH,764.0326,776.9841,761.2193,768.4884,768.4884,26715672.0,69780227.231,000688.SH
20240223,000688.SH,768.5093,769.8131,754.3471,764.4821,764.4821,21288172.0,57385787.606,000688.SH
20240222,000688.SH,757.2618,768.6579,755.9041,762.3821,762.3821,18435223.0,49712671.043,000688.SH
20240221,000688.SH,747.2499,769.1493,744.264,755.1552,755.1552,22272663.0,57035201.896,000688.SH
20240220,000688.SH,756.0838,758.0583,748.6,754.7015,754.7015,19703420.0,51408513.057,000688.SH
20240219,000688.SH,762.6438,763.3583,748.287,763.3156,763.3156,27425987.0,68655866.804,000688.SH
20240208,000688.SH,749.639,767.8557,745.2397,751.5036,751.5036,31037561.0,72357927.083,000688.SH
20240207,000688.SH,723.3117,744.3401,717.6979,743.4228,743.4228,30993446.0,72213965.559,000688.SH
20240206,000688.SH,675.4531,721.377,665.6321,720.7998,720.7998,27528071.0,60143375.048,000688.SH
20240205,000688.SH,675.3958,687.6212,635.7395,676.7932,676.7932,27776959.0,58729670.609,000688.SH
20240202,000688.SH,693.0199,694.7458,653.6205,673.4071,673.4071,20966472.0,50348535.505,000688.SH
20240201,000688.SH,680.7177,704.6597,678.9651,690.0051,690.0051,17736774.0,45872356.757,000688.SH
20240131,000688.SH,693.8467,699.6704,681.3837,684.8518,684.8518,18790544.0,46792282.544,000688.SH
20240130,000688.SH,720.1933,722.631,696.5635,697.8454,697.8454,15184450.0,41612056.661,000688.SH
20240129,000688.SH,748.2643,754.5865,725.3074,725.3074,725.3074,18099305.0,47533302.5,000688.SH
20240126,000688.SH,759.9374,762.1842,742.9311,746.0958,746.0958,15653146.0,44413803.9,000688.SH
20240125,000688.SH,749.1329,768.0234,742.932,765.7908,765.7908,18867797.0,51522101.0,000688.SH
20240124,000688.SH,753.0097,754.2197,728.3654,750.2748,750.2748,16456236.0,46725962.7,000688.SH
20240123,000688.SH,738.3826,754.649,733.4793,749.7431,749.7431,16124075.0,46270919.2,000688.SH
20240122,000688.SH,763.6012,764.6242,735.4063,742.2271,742.2271,17115759.0,49925569.2,000688.SH
20240119,000688.SH,767.2392,773.1497,762.2642,765.4702,765.4702,12880392.0,40209639.9,000688.SH
20240118,000688.SH,752.2862,769.1193,741.3381,768.2821,768.2821,17344119.0,51152319.4,000688.SH
20240117,000688.SH,775.8641,776.226,757.0449,757.0449,757.0449,11754122.0,37491845.4,000688.SH
20240116,000688.SH,771.8404,777.53,765.4271,777.4032,777.4032,13152859.0,41839701.6,000688.SH
20240115,000688.SH,774.9573,784.1906,770.9793,773.4051,773.4051,12190529.0,41242676.4,000688.SH
20240112,000688.SH,788.0254,790.3773,778.1067,778.3583,778.3583,13106491.0,41960115.0,000688.SH
20240111,000688.SH,775.3721,793.1363,775.1849,789.864,789.864,13547240.0,44546851.9,000688.SH
20240110,000688.SH,779.08,790.3581,771.5837,777.1526,777.1526,12740775.0,41242507.21,000688.SH
20240109,000688.SH,786.4801,793.5978,777.5601,782.9263,782.9263,13703054.0,44711059.436,000688.SH
20240108,000688.SH,802.895,804.5987,783.7367,784.4332,784.4332,13204224.0,41757658.981,000688.SH
20240105,000688.SH,820.3966,825.9385,803.4009,807.7294,807.7294,13831363.0,45426509.995,000688.SH
20240104,000688.SH,831.2304,831.5542,817.7469,823.8475,823.8475,12465895.0,42807367.5,000688.SH
20240103,000688.SH,838.3022,842.1976,827.1787,829.7721,829.7721,14285605.0,50256538.423,000688.SH
20240102,000688.SH,850.9687,850.9687,839.8012,839.8012,839.8012,15138040.0,51299035.195,000688.SH
20231229,000688.SH,849.611,854.8785,848.3257,852.0047,852.0047,17181516.0,58228339.811,000688.SH
20231228,000688.SH,828.4013,853.4909,828.3423,850.3851,850.3851,17920884.0,58015104.32,000688.SH
20231227,000688.SH,826.8309,833.8106,826.165,830.0574,830.0574,12035678.0,41133739.403,000688.SH
20231226,000688.SH,836.5314,836.6613,822.4352,825.2578,825.2578,11693280.0,39113936.991,000688.SH
20231225,000688.SH,840.3789,845.5627,834.4294,837.2221,837.2221,11853019.0,40991522.647,000688.SH
20231222,000688.SH,846.6663,851.479,839.7871,843.3183,843.3183,14511892.0,47822787.226,000688.SH
20231221,000688.SH,832.3701,850.993,831.9265,847.8169,847.8169,14325569.0,47125391.991,000688.SH
20231220,000688.SH,847.2721,847.5884,835.3058,835.7127,835.7127,12112031.0,40050633.338,000688.SH
20231219,000688.SH,839.6436,850.4069,838.2057,845.8585,845.8585,12152471.0,40580504.388,000688.SH
20231218,000688.SH,845.5383,847.5862,838.3173,840.6807,840.6807,12609513.0,42225498.75,000688.SH
20231215,000688.SH,857.0101,859.2501,846.823,847.507,847.507,12939167.0,44681226.996,000688.SH
20231214,000688.SH,865.0919,869.2943,855.4293,855.8981,855.8981,13153971.0,47653504.729,000688.SH
20231213,000688.SH,868.8664,875.1919,861.0318,861.2509,861.2509,14566895.0,53321368.117,000688.SH
20231212,000688.SH,876.6896,877.8266,866.8407,869.9667,869.9667,15631617.0,57226812.693,000688.SH
20231211,000688.SH,859.9741,880.0279,854.805,878.5159,878.5159,20641230.0,72770196.593,000688.SH
20231208,000688.SH,849.1607,868.2335,847.9267,868.2335,868.2335,24478442.0,94208682.251,000688.SH
20231207,000688.SH,847.102,850.0813,839.0318,847.4761,847.4761,17385923.0,64466064.943,000688.SH
20231206,000688.SH,843.8152,852.3061,842.5904,848.7905,848.7905,15882736.0,55914808.939,000688.SH
20231205,000688.SH,859.4851,859.4851,845.6048,845.7994,845.7994,15218409.0,53166198.1,000688.SH
20231204,000688.SH,867.834,873.5092,861.9198,861.9198,861.9198,16454691.0,59449573.231,000688.SH
20231201,000688.SH,863.3343,869.8201,856.4403,867.5364,867.5364,15860366.0,55550963.476,000688.SH
20231130,000688.SH,861.51,865.6845,857.6322,865.6845,865.6845,16189968.0,54908404.367,000688.SH
